@id,http://viaf.org/viaf/96994048,full_coverage
schema:alternateName{Literal}[101],V. Šekspīrs,V. Šekspīrs
schema:alternateName{Literal}[102],V. Šekʹspir,V. Šekʹspir
schema:alternateName{Literal}[103],V.(Vil’i︠a︡m) Shekspir,V.(Vil’i︠a︡m) Shekspir
schema:alternateName{Literal}[104],Veilliyam Šaḳisper,Veilliyam Šaḳisper
schema:alternateName{Literal}[105],Veilliyem Šaḳisper,Veilliyem Šaḳisper
schema:alternateName{Literal}[106],Velyam Şekspir,Velyam Şekspir
schema:alternateName{Literal}[107],Vil' jam Šèkspir,Vil' jam Šèkspir
schema:alternateName{Literal}[108],Vil'jam èekspir,Vil'jam èekspir
schema:alternateName{Literal}[109],Vil'jam Šekspir,Vil'jam Šekspir
schema:alternateName{Literal}[110],Vil'âm Šekspir,Vil'âm Šekspir
schema:alternateName{Literal}[111],Viliam Sekspiri,Viliam Sekspiri
schema:alternateName{Literal}[112],Viliam Šhekspir,Viliam Šhekspir
schema:alternateName{Literal}[113],Viliem Shekspir,Viliem Shekspir
schema:alternateName{Literal}[114],Vilijam Sekspir,Vilijam Sekspir
schema:alternateName{Literal}[115],Vilijam èekspir,Vilijam èekspir
schema:alternateName{Literal}[116],Vilijam Šekspir,Vilijam Šekspir
schema:alternateName{Literal}[117],Vilijem Šekspir,Vilijem Šekspir
schema:alternateName{Literal}[118],Viliyam Shekspīʼar,Viliyam Shekspīʼar
schema:alternateName{Literal}[119],Viliyam Ṣēkspiyar,Viliyam Ṣēkspiyar
schema:alternateName{Literal}[120],Viljam Sekspir,Viljam Sekspir
schema:alternateName{Literal}[121],Viljamas S̆ekspyras,Viljamas S̆ekspyras
schema:alternateName{Literal}[122],Viljamas Šekspiras,Viljamas Šekspiras
schema:alternateName{Literal}[123],Viljamas Šekspyras,Viljamas Šekspyras
schema:alternateName{Literal}[124],Viljams S̆ekspīrs,Viljams S̆ekspīrs
schema:alternateName{Literal}[125],Viljams Šekspīrs,Viljams Šekspīrs
schema:alternateName{Literal}[126],Viljem Sekspir,Viljem Sekspir
schema:alternateName{Literal}[127],Viljem S̆ekspir,Viljem S̆ekspir
