skos:changeNote{URIRef}[16],ulan_rev:5505621402,skos:changeNote{URIRef}[16]
skos:changeNote{URIRef}[17],ulan_rev:5505621429,skos:changeNote{URIRef}[17]
skos:changeNote{URIRef}[18],ulan_rev:5505621430,skos:changeNote{URIRef}[18]
skos:changeNote{URIRef}[19],ulan_rev:5505621434,skos:changeNote{URIRef}[19]
skos:changeNote{URIRef}[20],ulan_rev:5505621456,skos:changeNote{URIRef}[20]
skos:changeNote{URIRef}[21],ulan_rev:5505621484,skos:changeNote{URIRef}[21]
skos:changeNote{URIRef}[22],ulan_rev:5505623218,skos:changeNote{URIRef}[22]
skos:changeNote{URIRef}[23],ulan_rev:5505631683,skos:changeNote{URIRef}[23]
skos:changeNote{URIRef}[24],ulan_rev:5506192576,skos:changeNote{URIRef}[24]
skos:changeNote{URIRef}[25],ulan_rev:5506192577,skos:changeNote{URIRef}[25]
skos:changeNote{URIRef}[26],ulan_rev:5506192578,skos:changeNote{URIRef}[26]
skos:changeNote{URIRef}[27],ulan_rev:5506192591,skos:changeNote{URIRef}[27]
skos:changeNote{URIRef}[28],ulan_rev:5506192592,skos:changeNote{URIRef}[28]
skos:changeNote{URIRef}[29],ulan_rev:5506192595,skos:changeNote{URIRef}[29]
skos:changeNote{URIRef}[30],ulan_rev:5506516135,skos:changeNote{URIRef}[30]
skos:changeNote{URIRef}[31],ulan_rev:5506766606,skos:changeNote{URIRef}[31]
skos:changeNote{URIRef}[32],ulan_rev:5506773155,skos:changeNote{URIRef}[32]
skos:changeNote{URIRef}[33],ulan_rev:5506773156,skos:changeNote{URIRef}[33]
skos:changeNote{URIRef}[34],ulan_rev:5506773158,skos:changeNote{URIRef}[34]
skos:changeNote{URIRef}[35],ulan_rev:5506773159,skos:changeNote{URIRef}[35]
skos:changeNote{URIRef}[36],ulan_rev:5506773160,skos:changeNote{URIRef}[36]
skos:changeNote{URIRef}[37],ulan_rev:5506773161,skos:changeNote{URIRef}[37]
skos:changeNote{URIRef}[38],ulan_rev:5506773162,skos:changeNote{URIRef}[38]
skos:changeNote{URIRef}[39],ulan_rev:5506773168,skos:changeNote{URIRef}[39]
skos:changeNote{URIRef}[40],ulan_rev:5506776606,skos:changeNote{URIRef}[40]
skos:changeNote{URIRef}[41],ulan_rev:5506776673,skos:changeNote{URIRef}[41]
skos:changeNote{URIRef}[42],ulan_rev:5506777207,skos:changeNote{URIRef}[42]
