@id,http://id.worldcat.org/fast/29048,prop,http://id.loc.gov/authorities/names/n78095332,http://viaf.org/viaf/96994048,http://babelnet.org/rdf/data/s00008556n?output=xml,http://dbpedia.org/resource/William_Shakespeare
82,"Ṣēkspiyar, Viliyam, 1564-1616","Ṣēkspiyar, Viliyam, 1564-1616","Ṣēkspiyar, Viliyam, 1564-1616",,,
83,"Ṣēkspiyar, Villiyam, 1564-1616","Ṣēkspiyar, Villiyam, 1564-1616","Ṣēkspiyar, Villiyam, 1564-1616",,,
84,"Ṣēkspiyar, Villiyam, 1564-1616","Ṣēkspiyar, Villiyam, 1564-1616","Ṣēkspiyar, Villiyam, 1564-1616",,,
85,http://id.loc.gov/authorities/names/n78095332,http://id.loc.gov/authorities/names/n78095332,http://id.loc.gov/authorities/names/n78095332,http://id.loc.gov/authorities/names/n78095332,,
86,https://viaf.org/viaf/96994048,https://viaf.org/viaf/96994048,,,,
87,schema:Person,schema:Person,,schema:Person,,
88,http://en.wikipedia.org/wiki/William_Shakespeare,http://en.wikipedia.org/wiki/William_Shakespeare,,,,http://en.wikipedia.org/wiki/William_Shakespeare
89,http://id.worldcat.org/fast/ontology/1.0/#facet-Personal,http://id.worldcat.org/fast/ontology/1.0/#facet-Personal,,,,
90,http://id.worldcat.org/fast/ontology/1.0/#fast,http://id.worldcat.org/fast/ontology/1.0/#fast,,,,
91,http://id.worldcat.org/fast/29048,http://id.worldcat.org/fast/29048,http://id.worldcat.org/fast/29048,,,
92,,n 78095332,n 78095332,,,
93,,(OCoLC)oca00230409,(OCoLC)oca00230409,,,
94,,N095c0af207404ae190890f5b8db6ba03,N095c0af207404ae190890f5b8db6ba03,,,
95,,Na639888f7a7845608e5100e6e6b6e9d0,Na639888f7a7845608e5100e6e6b6e9d0,,,
96,,Nd19e15abf2804ae88a2e097a0fa57538,Nd19e15abf2804ae88a2e097a0fa57538,,,
97,,[Machine-derived non-Latin script reference project.],[Machine-derived non-Latin script reference project.],,,
98,,[Non-Latin script references not evaluated.],[Non-Latin script references not evaluated.],,,
99,,N08543cfa8d0b446c80af8707a2c71007,N08543cfa8d0b446c80af8707a2c71007,,,
100,,http://vocab.getty.edu/ulan/500272240,http://vocab.getty.edu/ulan/500272240,,,
101,,http://www.wikidata.org/entity/Q692,http://www.wikidata.org/entity/Q692,http://www.wikidata.org/entity/Q692,,http://www.wikidata.org/entity/Q692
102,,http://viaf.org/viaf/sourceID/LC%7Cn++78095332#skos:Concept,http://viaf.org/viaf/sourceID/LC%7Cn++78095332#skos:Concept,,,
103,,N023a86dea4c94b1999eb8096edd0447f,N023a86dea4c94b1999eb8096edd0447f,,,
104,,N03cf35de213e46e6ae2ed01c90007303,N03cf35de213e46e6ae2ed01c90007303,,,
105,,N0c63d801b6f249ce8b1c830721eea145,N0c63d801b6f249ce8b1c830721eea145,,,
106,,N22183b086eb64468b600844c26cab70c,N22183b086eb64468b600844c26cab70c,,,
107,,N235ff2b0d5c4439a8714402cbbe9984d,N235ff2b0d5c4439a8714402cbbe9984d,,,
108,,N2c53f3515724490c8cf34dac4efe104d,N2c53f3515724490c8cf34dac4efe104d,,,
109,,N30a2618b18bb46aea7c3ba6c4c9cf8a7,N30a2618b18bb46aea7c3ba6c4c9cf8a7,,,
110,,N33af64e47a6c412ea92a0c20167ed532,N33af64e47a6c412ea92a0c20167ed532,,,
111,,N39ba4b89788c416bb2d25438d2201ce8,N39ba4b89788c416bb2d25438d2201ce8,,,
112,,N3e06e2a91c4944ca98b6f72ead0e7c22,N3e06e2a91c4944ca98b6f72ead0e7c22,,,
113,,N4d2faba60a71420386303a589e9df00b,N4d2faba60a71420386303a589e9df00b,,,
114,,N612cb8359f534e8eb6b0dd2257752b60,N612cb8359f534e8eb6b0dd2257752b60,,,
115,,N7eee18095c2a48f0ae25a98fbc36d6af,N7eee18095c2a48f0ae25a98fbc36d6af,,,
116,,N8322f669577748a5abfef65aa0ac6fa2,N8322f669577748a5abfef65aa0ac6fa2,,,
117,,N854eb04e5e2c4b428df27c686e04a82c,N854eb04e5e2c4b428df27c686e04a82c,,,
118,,N902a94e773b548bf93b20c69e4f25609,N902a94e773b548bf93b20c69e4f25609,,,
119,,N969359021c1643f8a3fbfe0ae8d6382a,N969359021c1643f8a3fbfe0ae8d6382a,,,
120,,N99cd2f51b25b4b6cbbb33a109061b065,N99cd2f51b25b4b6cbbb33a109061b065,,,
121,,Na0cc1376e13f49b683166da77399b5c3,Na0cc1376e13f49b683166da77399b5c3,,,
